cluster,bio3,bio15,bio1,bio2,bio7,bio12,gsl,bio4,bio8,bio5,bio10,bio11,bio19,bio9,bio13,bio16,bio18,bio14,bio17,bio6,lat,lon,td_mean,td_std,agbd,mean_abd,std_abd,score,bw,fold_1000km
1,0.687,24.3,14.150000000000034,7.6,11.100000000000001,3248.4,365.0,127.2,13.250000000000057,20.150000000000034,15.750000000000057,12.550000000000011,904.6,15.050000000000011,380.4,991.0,692.6,141.4,591.1,9.050000000000011,19.553999985850503,-155.311,35122.271506618665,7.275957614183426e-12,17.834987634212165,1783683.428970622,8126.941158970008,-4.8163902132136265,0.5722076899687119,63
2,0.4730000000000001,106.9,13.150000000000034,7.1000000000000005,15.0,881.4000000000001,283.0,275.1,10.250000000000057,21.55000000000001,16.650000000000034,9.650000000000034,539.3000000000001,16.650000000000034,207.5,583.0,8.3,1.0,8.3,6.550000000000011,-34.14999999019399,-71.87999999999998,29120.462127202143,7.275957614183426e-12,232.4815444852882,23237996.572854847,85136.06528084291,-4.088347845657518,0.3774033629501185,98
3,0.355,20.0,4.350000000000023,6.1000000000000005,17.3,524.2,222.0,399.0,4.750000000000057,12.850000000000023,9.150000000000034,-1.0499999999999545,123.30000000000001,4.650000000000034,62.30000000000001,169.9,128.1,30.5,102.9,-4.449999999999989,-51.559999997271525,-72.23,6550.570681924051,1.8189894035458565e-12,11.232225963355052,1125311.85254998,27890.93164558713,-18.001567243619185,0.8045589572434726,81
4,0.6920000000000001,24.5,13.850000000000023,7.800000000000001,11.3,3156.3,365.0,130.1,12.950000000000045,19.850000000000023,15.450000000000045,12.250000000000057,880.2,14.750000000000055,369.90000000000003,966.9000000000001,673.2,137.0,573.1,8.550000000000011,19.55199998585069,-155.32399999999998,37866.452402312825,7.275957614183426e-12,38.110485252545864,3811323.283280679,23655.50046810996,-7.568233878939149,0.7535668898853458,63
5,0.625,92.7,18.250000000000057,9.3,14.9,1608.9,339.0,209.0,20.250000000000057,25.750000000000057,20.250000000000057,15.250000000000057,103.7,15.450000000000045,353.6,961.1,961.1,22.1,94.10000000000001,10.850000000000023,-14.449999987240972,49.04999999999999,20403.98262095746,3.637978807091713e-12,141.83831521656148,14157021.32603685,102020.42961079752,-11.235155264819621,0.26601673588105756,6
6,0.687,24.3,14.150000000000034,7.6000000000000005,11.100000000000001,3248.4,365.0,127.2,13.250000000000057,20.150000000000034,15.750000000000057,12.550000000000011,904.6,15.050000000000011,380.40000000000003,991.0,692.6,141.4,591.1,9.050000000000011,19.55099998585075,-155.31599999999997,35122.27150661867,1.4551915228366852e-11,22.136317780852803,2209500.9533411227,13956.268040775243,-5.997182052731482,0.5561806468904569,63
7,0.682,24.5,14.150000000000034,7.6000000000000005,11.100000000000001,3255.2000000000003,365.0,128.9,13.250000000000057,20.050000000000015,15.750000000000057,12.550000000000011,908.7,14.950000000000045,381.70000000000005,995.4000000000001,692.3000000000001,141.3,590.4,8.950000000000045,19.548999985850948,-155.314,74596.03711856324,1.4551915228366852e-11,134.7083652068138,13476213.619282637,85624.12511142137,-10.191535957043573,0.6129209754871863,63
8,0.12942857142857142,56.523809523809526,-7.888095238095207,6.376190476190477,48.985714285714295,915.6761904761905,89.61904761904762,1559.4095238095238,4.8309523809524295,17.82142857142862,12.20714285714289,-27.459523809523784,97.48095238095239,-22.54523809523806,146.5619047619048,407.91904761904766,347.91904761904766,22.19047619047619,92.23809523809524,-31.164285714285672,61.24110964273164,151.5,33390.42518187246,6445.230878725858,64.94694688493281,6499858.51841759,88068.39703896371,-13.431597949952149,0.7109421281903907,10
9,0.463,14.800000000000002,11.55000000000001,8.3,18.0,1438.3000000000002,365.0,342.6000000000001,7.150000000000034,21.250000000000057,16.05000000000001,7.150000000000034,432.40000000000003,15.850000000000023,152.4,432.40000000000003,321.70000000000005,95.5,295.6,3.250000000000057,-38.44999999240139,177.03,77123.06897354458,0.0,241.0997457338232,24140578.372785747,117395.66162646048,-10.746185681672573,0.7166907163115748,35
11,0.687,24.3,14.150000000000034,7.6,11.100000000000001,3248.4,365.0,127.2,13.250000000000057,20.150000000000034,15.750000000000059,12.550000000000011,904.6,15.050000000000013,380.40000000000003,991.0,692.6,141.4,591.1,9.050000000000011,19.552999985850576,-155.315,35122.271506618665,7.275957614183426e-12,22.148389408317698,2216156.479316268,11571.587417631468,-6.712292792636468,0.49578859417991583,63
12,0.687,24.3,14.150000000000032,7.6000000000000005,11.100000000000001,3248.4,365.0,127.2,13.250000000000059,20.150000000000034,15.750000000000059,12.550000000000013,904.6,15.050000000000013,380.40000000000003,991.0,692.6,141.4,591.1,9.050000000000011,19.552999985850576,-155.31599999999997,35122.27150661866,0.0,151.2581832175826,15108757.633677948,298633.07035173604,-10.302988840328624,0.5290275943068571,63
13,0.682,24.5,14.150000000000034,7.6000000000000005,11.100000000000001,3255.2000000000003,365.0,128.9,13.250000000000057,20.05000000000001,15.750000000000055,12.550000000000011,908.7,14.950000000000045,381.70000000000005,995.4000000000001,692.3000000000001,141.3,590.4,8.950000000000045,19.548999985850948,-155.313,74596.03711856322,0.0,457.11065064908945,45573647.921322934,999040.1782250776,-6.914852742730479,1.1574848275075649,63
14,0.682,24.5,14.150000000000034,7.6,11.100000000000001,3255.2000000000003,365.0,128.9,13.250000000000057,20.05000000000001,15.750000000000059,12.550000000000011,908.7,14.950000000000045,381.70000000000005,995.4,692.3000000000001,141.3,590.4,8.950000000000045,19.548999985850948,-155.31199999999998,74596.03711856324,1.4551915228366852e-11,186.8057773748247,18660822.882308412,181066.2663261438,-7.377147370484936,0.6998755778126844,63
15,0.126,70.4,-13.849999999999968,7.1000000000000005,56.400000000000006,345.40000000000003,93.0,1860.4,10.550000000000013,16.650000000000034,10.550000000000013,-36.54999999999995,37.0,-26.24999999999997,68.8,179.20000000000002,179.20000000000002,10.200000000000001,31.8,-39.74999999999997,69.87999999905233,135.58999999999995,2764.6803931563873,4.547473508864641e-13,0.46396864190466225,46269.86115183558,3098.8876001961444,-12.258712521202266,0.7936794343510751,10
16,0.12752,69.34400000000001,-13.901999999999978,7.2,56.236000000000004,343.48800000000006,92.96,1854.412,10.442000000000046,16.54200000000004,10.442000000000046,-36.49399999999997,37.82000000000001,-26.197999999999976,67.724,176.412,176.412,10.204,31.764,-39.69399999999996,69.87999999905233,135.61499999999998,3946.284945646825,250.2223370775945,0.5653059827073512,57162.13498047704,3293.0135398163616,-11.146788931969652,0.8153558673031098,10
17,0.41700000000000004,9.5,9.750000000000057,6.300000000000001,15.100000000000001,1418.9,365.0,283.40000000000003,8.250000000000057,17.750000000000057,13.350000000000021,5.9500000000000455,339.1,6.650000000000035,135.0,375.6,365.90000000000003,99.0,333.40000000000003,2.650000000000034,-45.979999995676735,167.55999999999997,6081.613315488795,9.094947017729282e-13,157.4347180979105,15772696.745205339,120958.12392314743,-63.74040453437154,0.2526575164565149,35
18,0.43700000000000006,16.0,8.750000000000057,8.1,18.5,999.0,365.0,335.20000000000005,12.850000000000023,18.250000000000057,12.850000000000023,4.150000000000034,219.70000000000002,5.150000000000034,114.10000000000001,304.7,304.7,67.3,215.80000000000004,-0.24999999999994316,-45.84999999563062,170.17,229844.0114421788,0.0,2262.9272324257095,226199075.6703294,387062.1519609598,-36.018216275789186,0.33548484478982826,35
19,0.4570000000000001,14.5,11.550000000000011,8.200000000000001,17.900000000000002,1282.4,365.0,345.6,7.150000000000034,21.350000000000023,16.150000000000034,7.150000000000034,378.40000000000003,15.950000000000045,135.4,378.40000000000003,294.0,84.60000000000001,265.1,3.4500000000000455,-38.66999999251117,176.72,69967.5399184286,1.4551915228366852e-11,975.5804510529426,97825480.36346802,1651058.4073378353,-32.04884344719086,0.820264457773094,35
